x,y
0.6479999999999999,0.902
0.762,0.8899999999999999
0.712,0.902
0.6759999999999999,0.902
0.738,0.8999999999999999
0.758,0.8640000000000001
0.788,0.8680000000000001
0.5760000000000001,0.904
0.792,0.8899999999999999
0.508,0.904
0.756,0.8500000000000001
0.6160000000000001,0.904
0.764,-0.906
0.546,0.906
0.734,0.8460000000000001
0.736,0.8660000000000001
0.4659999999999999,0.906
0.794,-0.906
0.774,0.688
0.756,0.8220000000000001
0.812,0.8999999999999999
0.786,0.8460000000000001
-0.6839999999999999,0.904
0.73,0.8220000000000001
0.542,0.8899999999999999
0.6719999999999999,0.8660000000000001
0.706,0.8660000000000001
0.802,0.8220000000000001
0.72,0.6539999999999999
0.5700000000000001,0.8460000000000001
0.6779999999999999,-0.904
0.05,0.8460000000000001
0.704,0.8440000000000001
0.6100000000000001,0.8680000000000001
0.776,0.728
0.728,0.792
0.746,0.6519999999999999
0.5900000000000001,0.5640000000000001
0.746,0.688
0.806,0.8660000000000001
0.6120000000000001,0.8879999999999999
0.522,0.5640000000000001
0.714,-0.904
0.2119999999999999,0.8480000000000001
0.716,0.6100000000000001
0.076,0.6120000000000001
0.786,-0.848
0.536,0.8240000000000001
0.798,0.788
0.3680000000000001,0.562
0.08,0.5660000000000001
0.3400000000000001,0.8680000000000001
0.4219999999999999,0.8240000000000001
-0.172,0.528
0.702,0.8200000000000001
0.6379999999999999,0.8200000000000001
0.4439999999999999,0.524
0.538,0.8460000000000001
0.502,0.8680000000000001
0.6419999999999999,0.8460000000000001
0.6559999999999999,0.6120000000000001
0.782,0.8220000000000001
0.4559999999999999,0.8220000000000001
0.79,-0.872
0.556,0.5640000000000001
0.044,0.6100000000000001
0.6439999999999999,0.8680000000000001
0.804,0.8460000000000001
0.5660000000000001,0.8220000000000001
0.6659999999999999,0.8200000000000001
0.5920000000000001,0.6100000000000001
0.1200000000000001,0.562
-0.052,0.5660000000000001
0.1659999999999999,0.526
0.752,0.79
0.758,-0.848
0.2059999999999999,0.558
0.6679999999999999,0.8460000000000001
0.3380000000000001,0.8480000000000001
-0.2099999999999999,0.528
0.688,0.6100000000000001
0.6200000000000001,0.56
0.4099999999999999,0.5640000000000001
0.2039999999999999,0.526
-0.296,0.484
0.328,0.6120000000000001
0.1659999999999999,0.6120000000000001
-0.0879999999999999,0.532
0.6240000000000001,0.6080000000000001
0.1279999999999999,0.8700000000000001
0.082,0.8680000000000001
0.756,-0.8260000000000001
0.2059999999999999,0.6120000000000001
0.4439999999999999,0.5660000000000001
0.772,0.6539999999999999
0.08,0.792
0.292,0.6120000000000001
0.2099999999999999,0.794
0.554,0.6080000000000001
0.744,0.6120000000000001
0.1719999999999999,-0.53
0.5700000000000001,0.8660000000000001
-0.054,0.8480000000000001
-0.0899999999999999,0.8240000000000001
0.288,0.56
0.296,0.764
-0.13,0.5680000000000001
0.484,0.5660000000000001
0.3779999999999999,0.79
-0.182,0.8240000000000001
0.6639999999999999,0.762
0.2079999999999999,0.8200000000000001
0.05,0.8240000000000001
0.484,0.524
0.248,0.558
-0.0899999999999999,0.8460000000000001
0.6060000000000001,0.8200000000000001
0.4619999999999999,0.8899999999999999
0.6519999999999999,0.5660000000000001
-0.3139999999999999,0.8700000000000001
0.1719999999999999,0.792
0.286,0.524
0.52,0.474
0.4499999999999999,-0.528
0.52,0.522
0.73,-0.8240000000000001
0.6080000000000001,0.8460000000000001
-0.256,0.528
0.2079999999999999,0.764
-0.2199999999999999,0.8480000000000001
-0.0899999999999999,0.5700000000000001
0.326,0.562
-0.01,0.6140000000000001
0.296,0.792
0.26,0.8680000000000001
0.554,0.524
0.706,-0.85
0.6659999999999999,0.79
0.726,0.764
0.744,-0.612
0.298,0.8240000000000001
0.6559999999999999,0.6519999999999999
0.086,-0.5760000000000001
-0.396,0.8720000000000001
0.2079999999999999,-0.532
0.6379999999999999,0.792
0.54,0.8680000000000001
0.498,0.8460000000000001
-0.126,0.532
0.778,0.762
0.52,-0.484
0.3360000000000001,0.79
-0.054,0.8240000000000001
-0.3379999999999999,0.532
-0.414,0.48
0.1200000000000001,0.6120000000000001
-0.3339999999999999,0.482
0.5,0.8240000000000001
-0.296,0.53
-0.136,0.8220000000000001
0.7,0.792
0.258,0.8220000000000001
-0.138,0.8460000000000001
0.1240000000000001,0.526
-0.414,0.528
0.046,0.792
