IDx,IDy,Posix,Posiy,accuracy
0,0,-0.8093916574936522,-0.9050791585147206,
0,1,-0.808,-0.892,
0,2,-0.806,-0.868,
0,3,-0.804,-0.85,
0,4,-0.8,-0.8260000000000001,
0,5,-0.796,-0.792,
0,6,-0.796,-0.764,
0,7,-0.792,-0.73,
0,8,-0.792,-0.692,
0,9,-0.79,-0.656,
0,10,-0.79,-0.614,
0,11,-0.788,-0.5640000000000001,
0,12,-0.788,-0.524,
0,13,-0.7874469045600971,-0.4812936018634476,
0,14,-0.7856481543196419,-0.4309285951306987,
0,15,-0.7860079043677329,-0.3859598391193157,
0,16,-0.7852884042715508,-0.3248023309438348,
0,17,-0.7849286542234597,-0.27227882392253955,
0,18,-0.7842091541272775,-0.21975531690124422,
0,19,-0.7838494040791865,-0.15931730882194556,
0,20,-0.7834896540310954,-0.10463530151210385,
0,21,-0.7809714036944579,-0.05930679545262982,
0,22,-0.7838494040791866,0.0054482132037616815,
0,23,-0.7878066546081883,0.06876422166778892,
0,24,-0.7870871545120062,0.11049522724635234,
0,25,-0.7881664046562794,0.1676954848928315,
0,26,-0.7888859047524616,0.22057874196221788,
0,27,-0.790684654992917,0.26878524840642043,
0,28,-0.7914041550890991,0.3259855060528996,
0,29,-0.7932029053295545,0.38246626360319663,
0,30,-0.7917639051371902,0.42311801903748686,
0,31,-0.7931143531792881,0.48058272895935233,
0,32,-0.7934727610052285,0.5282509698094114,
0,33,-0.794,0.5680000000000001,
0,34,-0.7956232079608703,0.6182113341204252,
0,35,-0.7963400236127509,0.6572777871479172,
0,36,-0.798,0.694,
0,37,-0.798,0.734,
0,38,-0.802,0.768,
0,39,-0.804,0.794,
0,40,-0.808,0.8260000000000001,
0,41,-0.808,0.8480000000000001,
0,42,-0.81,0.8680000000000001,
0,43,-0.812,0.8919999999999999,
0,44,-0.8136224387782307,0.9041954288380243,
1,0,-0.7892456548005525,-0.9050791585147206,
1,1,-0.79,-0.892,
1,2,-0.786,-0.87,
1,3,-0.784,-0.85,
1,4,-0.78,-0.8260000000000001,
1,5,-0.778,-0.792,
1,6,-0.776,-0.762,
1,7,-0.776,-0.732,
1,8,-0.772,-0.688,
1,9,-0.772,-0.654,
1,10,-0.772,-0.612,
1,11,-0.77,-0.5660000000000001,
1,12,-0.77,-0.528,
1,13,-0.77,-0.482,
1,14,-0.768,-0.43,
1,15,-0.77,-0.386,
1,16,-0.766,-0.3239999999999999,
1,17,-0.768,-0.272,
1,18,-0.77,-0.2199999999999999,
1,19,-0.772,-0.16,
1,20,-0.7655021516265422,-0.10463530151210386,
1,21,-0.7622644011937226,-0.05894704540453874,
1,22,-0.7655021516265423,0.005807963251852746,
1,23,-0.768,0.07,
1,24,-0.772,0.1100000000000001,
1,25,-0.77,0.1679999999999999,
1,26,-0.772,0.2199999999999999,
1,27,-0.772,0.27,
1,28,-0.772,0.326,
1,29,-0.774,0.3819999999999999,
1,30,-0.774,0.4219999999999999,
1,31,-0.776,0.48,
1,32,-0.776,0.528,
1,33,-0.776,0.5700000000000001,
1,34,-0.778,0.6200000000000001,
1,35,-0.78,0.6579999999999999,
1,36,-0.782,0.694,
1,37,-0.784,0.736,
1,38,-0.7863007959782153,0.7683703393380815,
1,39,-0.788,0.796,
1,40,-0.79,0.8280000000000001,
1,41,-0.792,0.8500000000000001,
1,42,-0.794,0.8700000000000001,
1,43,-0.795309108047378,0.892135430551853,
1,44,-0.7966491078569526,0.9041954288380243,
2,0,-0.764,-0.904,
2,1,-0.7604656509532675,-0.8924879068315335,
2,2,-0.758,-0.868,
2,3,-0.756,-0.852,
2,4,-0.754,-0.8260000000000001,
2,5,-0.752,-0.796,
2,6,-0.75,-0.762,
2,7,-0.748,-0.734,
